collection_id,balance,AGIX
9,100000000000,"1,000.00000000"
25,7000000000082,"70,000.00000082"
34,10200000000,102.00000000
58,329940460413,"3,299.40460413"
71,0,0.00000000
183,5560656813733,"55,606.56813733"
261,120905498125,"1,209.05498125"
272,4080537659412,"40,805.37659412"
277,3434237007167,"34,342.37007167"
278,9601233352746,"96,012.33352746"
293,0,0.00000000
295,259205133297,"2,592.05133297"
296,20145935568966,"201,459.35568966"
301,5616375144106,"56,163.75144106"
313,0,0.00000000
317,2015113938599,"20,151.13938599"
320,10137823747,101.37823747
321,2.1149E+15,"21,148,956.74086630"
361,1079100000179,"10,791.00000179"
371,62636162046964,"626,361.62046964"
429,1745895103,17.45895103
430,33700000000,337.00000000
433,125112993682,"1,251.12993682"
438,680436000000,"6,804.36000000"
586,426729049,4.26729049
666,0,0.00000000
669,52468000000,524.68000000
673,1751400000000,"17,514.00000000"
677,415730698296,"4,157.30698296"
678,3044000000000,"30,440.00000000"
679,800000000,8.00000000
680,20400000000,204.00000000
682,204000000000,"2,040.00000000"
683,0,0.00000000
684,1006792240275,"10,067.92240275"
685,0,0.00000000
686,26000000000,260.00000000
687,0,0.00000000
689,50000000000,500.00000000
690,0,0.00000000
691,0,0.00000000
692,0,0.00000000
693,0,0.00000000
694,56300000000,563.00000000
695,203600000000,"2,036.00000000"
696,36115645217,361.15645217
697,0,0.00000000
698,0,0.00000000
699,0,0.00000000
700,1313592138694,"13,135.92138694"
701,0,0.00000000
702,7334300000000,"73,343.00000000"
703,1413264210554,"14,132.64210554"
704,1945800000000,"19,458.00000000"
705,1312828621021,"13,128.28621021"
706,30909482874,309.09482874
707,21542092242,215.42092242
708,99963655679,999.63655679
709,63444000000,634.44000000
710,13105000000,131.05000000
711,102918000000,"1,029.18000000"
714,0,0.00000000
715,4188156523,41.88156523
716,0,0.00000000
717,0,0.00000000
718,0,0.00000000
719,0,0.00000000
720,0,0.00000000
721,111000000,1.11000000
722,30000000,0.30000000
723,0,0.00000000
724,0,0.00000000
725,10000,0.00010000
726,0,0.00000000
727,0,0.00000000
728,0,0.00000000
729,0,0.00000000
730,0,0.00000000
731,355950982157,"3,559.50982157"
733,32180544000000,"321,805.44000000"
734,595314725090,"5,953.14725090"
735,200000000,2.00000000
737,300000000,3.00000000
738,200000000,2.00000000
739,300000000,3.00000000
740,33526000000,335.26000000
741,97962099467,979.62099467
742,500000000,5.00000000
743,200000000,2.00000000
744,0,0.00000000
745,271713989151,"2,717.13989151"
746,0,0.00000000
747,300000000,3.00000000
748,200000000,2.00000000
749,300000000,3.00000000
750,200000000,2.00000000
751,200000000,2.00000000
752,200000000,2.00000000
753,300000000,3.00000000
754,24093248620000,"240,932.48620000"
755,200000000,2.00000000
756,300000000,3.00000000
757,300000000,3.00000000
758,300000000,3.00000000
759,300000000,3.00000000
760,200000000,2.00000000
761,200000000,2.00000000
762,300000000,3.00000000
763,200000000,2.00000000
764,200000000,2.00000000
765,100000000,1.00000000
766,100000000,1.00000000
767,200000000,2.00000000
768,200000000,2.00000000
769,200000000,2.00000000
770,200000000,2.00000000
771,100000000,1.00000000
772,200000000,2.00000000
773,100000000,1.00000000
774,200000000,2.00000000
775,300000000,3.00000000
776,200000000,2.00000000
777,200000000,2.00000000
778,200000000,2.00000000
780,200000000,2.00000000
781,100000000,1.00000000
782,100000000,1.00000000
783,200000000,2.00000000
784,200000000,2.00000000
785,33625000000,336.25000000
787,300000000,3.00000000
788,0,0.00000000
789,44778910686,447.78910686
790,42447000000,424.47000000
791,58206400813,582.06400813
792,200000000,2.00000000
793,200000000,2.00000000
794,100000000,1.00000000
795,200000000,2.00000000
796,100000000,1.00000000
797,200000000,2.00000000
798,200000000,2.00000000
799,100000000,1.00000000
800,100000000,1.00000000
801,200000000,2.00000000
802,200000000,2.00000000
803,100000000,1.00000000
804,200000000,2.00000000
805,200000000,2.00000000
806,200000000,2.00000000
807,200000000,2.00000000
808,300000000,3.00000000
809,200000000,2.00000000
810,3097596000000,"30,975.96000000"
811,200000000,2.00000000
812,200000000,2.00000000
813,200000000,2.00000000
814,200000000,2.00000000
815,200000000,2.00000000
816,300000000,3.00000000
817,200000000,2.00000000
818,400000000,4.00000000
819,0,0.00000000
820,0,0.00000000
821,0,0.00000000
822,0,0.00000000
823,0,0.00000000
824,246500000000,"2,465.00000000"
825,0,0.00000000
826,0,0.00000000
830,24387098813,243.87098813
831,10124046441337,"101,240.46441337"
832,258196000000,"2,581.96000000"
834,2434100000000,"24,341.00000000"
835,102063726630343,"1,020,637.26630343"
837,60000000000,600.00000000
838,160773775007,"1,607.73775007"
839,0,0.00000000
840,117540702112,"1,175.40702112"
841,24999996000000,"249,999.96000000"
842,18881000000,188.81000000
843,88661000000,886.61000000